actor_id,type,name,is_part_of,is_owned_by,datasource_id
ECCC:GHGRP:10001,site,Division Alma,CA-QC,Produits forestiers Résolu,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10003,site,"Foothills Pipeline, Alberta",CA-AB,Foothills Pipe Lines Ltd.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10004,site,Kingston CoGen,CA-ON,Northland Power Inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10006,site,Redwater Fertilizer Operations,CA-AB,Agrium Inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10007,site,Alberta Envirofuels,CA-AB,Keyera Corp,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10008,site,Alliance Pipeline Ltd. - AB Pipeline System,CA-AB,Alliance Pipeline Ltd. Partnership,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10009,site,Alberta-Pacific Forest Industries Inc.,CA-AB,Alberta-Pacific Forest Industries Inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10010,site,Rio Tinto Alcan Inc.,CA-BC,Rio Tinto Alcan Inc,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10011,site,Algoma Steel Inc,CA-ON,Algoma Steel Inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10012,site,Aluminerie Alouette inc.,CA-QC,Aluminerie Alouette inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10013,site,Aluminerie de Baie-Comeau,CA-QC,Ne pas prendre - Alcoa Canada Co.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10014,site,Aluminerie de Bécancour inc.,CA-QC,Aluminerie de Bécancour inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10015,site,ATCO Pipelines - Transmission System,CA-AB,ATCO Gas and Pipelines Ltd.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10016,site,Atikokan Generating Station,CA-ON,Ontario Power Generation Inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10018,site,Battle River Generating Station,CA-AB,Alberta Power 2000 Ltd.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10020,site,Bayside Power,CA-NB,New Brunswick Power Corporation,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10021,site,Usine de Bedford,CA-QC,Graymont (QC) Inc.,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10022,site,Belledune Generating Station,CA-NB,New Brunswick Power Corporation,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10024,site,Boundary Dam Power Station,CA-SK,Saskatchewan Power Corporation,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10025,site,Resolute Forest Products - Thunder Bay Operations,CA-ON,Produits forestiers Résolu,ECCC:GHGRP_facilities:2022-04-14
