"Profit and emission database, by Robert Höglund www.marginalcarbon.com. CC BY 4.0. Economic data from Forbes Global 2000 List (2021 version with 2020 data). Emission data (for 2020) manually collected (so will likely contain smaller mistakes!) You can make your own filter view and sort the document by clicking Data > Filterview > New temporary filter view",,2 019,2020 data,,,,"185,000,000","185,000,000",,,,,,,,,,,,,,,
2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e,Scope 3 emissions tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)",Sales/Revenue,Profit
2,JPMorgan Chase,Diversified Financials,United States,81655,692299,181004,69570,660601,730171,36169,766340,"$55,288 ","$52,679 ","0,3346%","0,35%","0,6858%","0,0992%","0,10%",6,"$526,79","2020 Environmental Social & Governance Report, page 32 https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2020.pdf","$136200000000,00"," $40370000000,00 "
4,China Construction Bank,Banking,China,17936,254092,--,18615,332461,351076,--,,"$111,942 ",,"0,1653%",#VALUE!,,"0,0374%",#VALUE!,,,"Social and Governance Reporting Guide, page 36 http://www.ccb.com/en/newinvestor/upload/20210327_1616775640/20210327001724508034.pdf","$173500000000,00","$39300000000,00"
5,Saudi Arabian Oil Company (Saudi Aramco),Oil & Gas Operations,Saudi Arabia,52000000,19000000,1600000000,49100000,17900000,67000000,--,,$736 ,,251522%,#VALUE!,,"5,40%",#VALUE!,,,"saudi-aramco-ara-2020, page 78, https://www.aramco.com/-/media/publications/corporate-reports/saudi-aramco-ara-2020-english.pdf ; Source link for 2019 scope 3 emissions https://www.clientearth.org/projects/the-greenwashing-files/aramco/#:~:text=In%202019%2C%20Aramco's%20Scope%203,equivalent%20%E2%80%93%20over%2012%2C000%20times%20more.","$229700000000,00","$49280000000,00"
6,Apple,Technology Hardware & Equipment,United States,52730,0,24980000,47430,0,47430,22550000,22597430,"$1,347,881 ","$2,829 ","0,0137%","6,54%",65529%,"0,0030%","1,42%",77,"$28,29","Environmental Progress Report - Apple, page 67 https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2021.pdf","$294000000000,00","$63930000000,00"
6,Bank of America,Banking,United States,62639,746294,4867841,53390,657635,711025,3291394,4002419,"$25,161 ","$4,470 ","0,7353%","4,14%",48742%,"0,1331%","0,75%",41,"$44,70","2019 Environmental, Social & Governance Performance Data Summary, page 11 file:///C:/Users/muham/Downloads/ESGData2019_R26_Final.pdf ; 2020 Independent Reasonable and Limited Assurance Statement, page 5 https://about.bankofamerica.com/content/dam/about/pdfs/2020_Assurance_Statement_ISAE_3000_Final.pdf","$98800000000,00","$17890000000,00"
6,Ping An Insurance Group,Insurance,China,7156,720605,69490000,2114,478287,480401,49897,530298,"$43,193 ","$39,129 ","0,4283%","0,47%","0,9011%","0,0526%","0,06%",3,"$391,29","Ping-An-2020-Sustainability-Report, Page 111 https://group.pingan.com/resource/pingan/ESG/Report/Ping-An-2020-Sustainability-Report.pdf ; Ping An 2019 Sustainability Report, page 44 http://www.pingan.com/app_upload/images/info/upload/2a9a2d56-88f3-451f-af2e-e3e6c19d2483.pdf?_ga=2.186661162.307943061.1646826890-1708395438.1646826890","$169100000000,00","$20750000000,00"
10,Amazon,Retailing,United States,5760000,5500000,39910000,9620000,5270000,14890000,45750000,60640000,"$1,433 ",$352 ,129144%,"52,59%",655089%,"0,7135%","2,91%",157,"$3,52","Amazon's 2020 Sustainability Report, page 111 https://sustainability.aboutamazon.com/amazon-sustainability-2020-report.pdf","$386100000000,00","$21330000000,00"
11,Samsung Electronics,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",South Korea,5067000,8733000,16607000,5726000,9079000,14805000,14726000,29531000,"$1,493 ",$749 ,123877%,"24,71%",370971%,13647%,"2,72%",147,"$7,49","Samsung 2021 Sustainability report, page 81 https://images.samsung.com/is/content/samsung/assets/global/our-values/resource/2021_Sustainability_Report.pdf","$200700000000,00","$22110000000,00"
13,Alphabet,IT Software & Services,United States,66686,5911216,11669000,38694,5865000,5903694,9376000,15279694,"$6,821 ","$2,636 ",27122%,"7,02%",97316%,"0,5988%","1,55%",84,"$26,36","2021 Environmental Report, page 11 https://www.gstatic.com/gumdrop/sustainability/google-2021-environmental-report.pdf","$182400000000,00","$40270000000,00"
14,Bank of China,Banking,China,350,65083,39000,282,63394,63676,-,,"$438,941 ",,"0,0421%",#VALUE!,,"0,0088%",#VALUE!,0,,"Sustainability Report 2020, page 88 https://www.bochk.com/dam/bochk/desktop/top/aboutus/esg/report/SustainabilityReport2020_en.pdf","$134000000000,00","$27950000000,00"
