emissions_id,actor_id,year,total_emissions,methodology_id,datasource_id
ECCC:GHGRP:10001:2020,ECCC:GHGRP:10001,2020,77800,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10003:2020,ECCC:GHGRP:10003,2020,287850,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10004:2020,ECCC:GHGRP:10004,2020,320,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10007:2020,ECCC:GHGRP:10007,2020,301640,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10008:2020,ECCC:GHGRP:10008,2020,461590,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10009:2020,ECCC:GHGRP:10009,2020,136460,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10010:2020,ECCC:GHGRP:10010,2020,789940,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10013:2020,ECCC:GHGRP:10013,2020,517820,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10014:2020,ECCC:GHGRP:10014,2020,745480,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10015:2020,ECCC:GHGRP:10015,2020,127140,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10016:2020,ECCC:GHGRP:10016,2020,17100,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10018:2020,ECCC:GHGRP:10018,2020,779640,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10020:2020,ECCC:GHGRP:10020,2020,259940,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10021:2020,ECCC:GHGRP:10021,2020,383890,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10025:2020,ECCC:GHGRP:10025,2020,201220,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10026:2020,ECCC:GHGRP:10026,2020,422850,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10027:2020,ECCC:GHGRP:10027,2020,63280,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10028:2020,ECCC:GHGRP:10028,2020,11300,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10029:2020,ECCC:GHGRP:10029,2020,121800,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10030:2020,ECCC:GHGRP:10030,2020,52210,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10031:2020,ECCC:GHGRP:10031,2020,23510,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10032:2020,ECCC:GHGRP:10032,2020,27820,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10033:2020,ECCC:GHGRP:10033,2020,175020,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10036:2020,ECCC:GHGRP:10036,2020,392630,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10038:2020,ECCC:GHGRP:10038,2020,704810,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10039:2020,ECCC:GHGRP:10039,2020,173620,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10040:2020,ECCC:GHGRP:10040,2020,770620,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10041:2020,ECCC:GHGRP:10041,2020,23740,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10042:2020,ECCC:GHGRP:10042,2020,36310,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10043:2020,ECCC:GHGRP:10043,2020,117220,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10045:2020,ECCC:GHGRP:10045,2020,150040,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10047:2020,ECCC:GHGRP:10047,2020,25790,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10048:2020,ECCC:GHGRP:10048,2020,114210,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10049:2020,ECCC:GHGRP:10049,2020,32720,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10050:2020,ECCC:GHGRP:10050,2020,354850,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10051:2020,ECCC:GHGRP:10051,2020,320920,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10052:2020,ECCC:GHGRP:10052,2020,852130,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10053:2020,ECCC:GHGRP:10053,2020,587070,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10054:2020,ECCC:GHGRP:10054,2020,377840,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10055:2020,ECCC:GHGRP:10055,2020,79920,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
ECCC:GHGRP:10057:2020,ECCC:GHGRP:10057,2020,129180,ECCC:GHGRP:methodology,ECCC:GHGRP_facilities:2022-04-14
