actor_id,year,population,datasource_id
AF-KDZ,2000,760000,OEF:WB:subnational-population:20221106
AF-KDZ,2001,793000,OEF:WB:subnational-population:20221106
AF-KDZ,2002,830000,OEF:WB:subnational-population:20221106
AF-KDZ,2003,871000,OEF:WB:subnational-population:20221106
AF-KDZ,2004,910000,OEF:WB:subnational-population:20221106
AF-KDZ,2005,945000,OEF:WB:subnational-population:20221106
AF-KDZ,2006,976000,OEF:WB:subnational-population:20221106
AF-KDZ,2007,1004000,OEF:WB:subnational-population:20221106
AF-KDZ,2008,1027000,OEF:WB:subnational-population:20221106
AF-KDZ,2009,1052000,OEF:WB:subnational-population:20221106
AF-KDZ,2010,1081000,OEF:WB:subnational-population:20221106
AF-KDZ,2011,1114000,OEF:WB:subnational-population:20221106
AF-KDZ,2012,1149000,OEF:WB:subnational-population:20221106
AF-KDZ,2013,1187000,OEF:WB:subnational-population:20221106
AF-KDZ,2014,1224000,OEF:WB:subnational-population:20221106
AF-KDZ,2015,1259000,OEF:WB:subnational-population:20221106
AF-KDZ,2016,1291000,OEF:WB:subnational-population:20221106
AF-WAR,2000,468000,OEF:WB:subnational-population:20221106
AF-WAR,2001,487000,OEF:WB:subnational-population:20221106
AF-WAR,2002,509000,OEF:WB:subnational-population:20221106
AF-WAR,2003,532000,OEF:WB:subnational-population:20221106
AF-WAR,2004,555000,OEF:WB:subnational-population:20221106
AF-WAR,2005,574000,OEF:WB:subnational-population:20221106
AF-WAR,2006,593000,OEF:WB:subnational-population:20221106
AF-WAR,2007,610000,OEF:WB:subnational-population:20221106
AF-WAR,2008,619000,OEF:WB:subnational-population:20221106
AF-WAR,2009,633000,OEF:WB:subnational-population:20221106
AF-WAR,2010,648000,OEF:WB:subnational-population:20221106
AF-WAR,2011,666000,OEF:WB:subnational-population:20221106
AF-WAR,2012,686000,OEF:WB:subnational-population:20221106
AF-WAR,2013,706000,OEF:WB:subnational-population:20221106
AF-WAR,2014,726000,OEF:WB:subnational-population:20221106
AF-WAR,2015,745000,OEF:WB:subnational-population:20221106
AF-WAR,2016,763000,OEF:WB:subnational-population:20221106
