name,country,entity_type,iso,region,state,raw_commitment,ghg_reduction_target_type,percent_reduction,target_year,baseline_year,data_source
"Albany, NY",United States of America,City,USA,North America,NY,"2035 - Achieve 100% clean, renewable energy",Renewable Energy,NA,2035,NA,ClimateMayors2022
"Albany, NY",United States of America,City,USA,North America,NY,2020 - Achieve 20% energy reduction in municipal buildings,GHG emission reduction target:Local Government,20,2020,NA,ClimateMayors2022
"Albany, NY",United States of America,City,USA,North America,NY,2030 - Divert 65% of waste from landfill,Waste Reduction,65,2030,NA,ClimateMayors2022
"Albany, NY",United States of America,City,USA,North America,NY,2030 - Reduce CO2 emissions from wastewater and water treatment by 10%,GHG emission reduction target:Community,10,2030,NA,ClimateMayors2022
"Ann Arbor, MI",United States of America,City,USA,North America,MI,2025: reduce GHGs 25% from 2000 levels,GHG emission reduction target:Community,25,2025,2000,ClimateMayors2022
"Ann Arbor, MI",United States of America,City,USA,North America,MI,2050: reduce GHGs 90% from 2000 levels,GHG emission reduction target:Community,90,2050,2000,ClimateMayors2022
"Asheville, NC",United States of America,City,USA,North America,NC,80% below 2002 GHG levels by 2050,GHG emission reduction target:Local Government,80,2050,2002,ClimateMayors2022
"Asheville, NC",United States of America,City,USA,North America,NC,"4% Municipal carbon reductions - yearly (1,114 Metric Tons/Year)",GHG emission reduction target:Local Government,4,NA,NA,ClimateMayors2022
"Asheville, NC",United States of America,City,USA,North America,NC,50% Waste reduction goal,Waste Reduction,50,NA,NA,ClimateMayors2022
"Asheville, NC",United States of America,City,USA,North America,NC,Food Policy Action Plan,,NA,NA,NA,ClimateMayors2022
"Asheville, NC",United States of America,City,USA,North America,NC,Community target presently being created through the Energy Innovation Task Force to prevent Duke Energy Progressâ€™ peaker unit from being built. - IN PROGRESS,,NA,NA,NA,ClimateMayors2022
"Aspen, CO",United States of America,City,USA,North America,CO,30% by 2010 below 2004 GHG baseline,GHG emission reduction target:Community,30,2010,2004,ClimateMayors2022
"Aspen, CO",United States of America,City,USA,North America,CO,80% by 2050 below 2004 GHG baseline,GHG emission reduction target:Community,80,2050,2004,ClimateMayors2022
"Aspen, CO",United States of America,City,USA,North America,CO,100% renewable utility by 2015 â€“ achieved,Renewable Energy,NA,NA,NA,ClimateMayors2022
"Atlanta, GA",United States of America,City,USA,North America,GA,20% by 2020 below 2009 GHG baseline,GHG emission reduction target:Community,20,2020,2009,ClimateMayors2022
"Atlanta, GA",United States of America,City,USA,North America,GA,40% by 2030 below 2009 GHG baseline,GHG emission reduction target:Community,40,2030,2009,ClimateMayors2022
"Atlanta, GA",United States of America,City,USA,North America,GA,100% by 2035 below 2009 GHG baseline,GHG emission reduction target:Community,100,2035,2009,ClimateMayors2022
"Austin, TX",United States of America,City,USA,North America,TX,Net zero community-wide greenhouse gas emissions by 2050.,GHG emission reduction target:Community,NA,2050,NA,ClimateMayors2022
"Austin, TX",United States of America,City,USA,North America,TX,Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020.,Renewable Energy,NA,2012,NA,ClimateMayors2022
"Austin, TX",United States of America,City,USA,North America,TX,Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020.,GHG emission reduction target:Local Government,100,2020,NA,ClimateMayors2022
"Austin, TX",United States of America,City,USA,North America,TX,"Austin Energy: 55% renewable energy delivered to customers by 2015. This includes goals of 1000 MW of demand side management, over 1500MW of wind, 600MW of solar, energy storage, and all coal ownership retirement.",Renewable Energy,NA,2015,NA,ClimateMayors2022
"Berkeley, CA",United States of America,City,USA,North America,CA,Community-wide GHG reductions of 80% below 2000 levels by 2050; this translates to 33% below 2000 levels by 2020.,GHG emission reduction target:Community,33,2020,2000,ClimateMayors2022
"Berkeley, CA",United States of America,City,USA,North America,CA,Community-wide GHG reductions of 80% below 2000 levels by 2050; this translates to 33% below 2000 levels by 2020.,GHG emission reduction target:Community,80,2050,2000,ClimateMayors2022
"Berkeley, CA",United States of America,City,USA,North America,CA,Zero waste by 2020.,Waste Reduction,100,2020,NA,ClimateMayors2022
"Boston, MA",United States of America,City,USA,North America,MA,"25% reduction in greenhouse gas emissions by 2020, below 2005 level, and carbon neutral by 2050",GHG emission reduction target:Community,25,2020,2005,ClimateMayors2022
"Boston, MA",United States of America,City,USA,North America,MA,"25% reduction in greenhouse gas emissions by 2020, below 2005 level, and carbon neutral by 2050",GHG emission reduction target:Community,100,2050,2005,ClimateMayors2022
"Boulder, CO",United States of America,City,USA,North America,CO,"80% reduction in community-wide GHG emissions by 2050, below 2005 baseline",GHG emission reduction target:Community,80,2050,2005,ClimateMayors2022
"Boulder, CO",United States of America,City,USA,North America,CO,"100% clean, renewable electricity by 2030",Renewable Energy,100,2030,NA,ClimateMayors2022
"Boulder, CO",United States of America,City,USA,North America,CO,"80% reduction in city operation GHG emissions by 2030, below 2008 baseline",GHG emission reduction target:Local Government,80,2030,2008,ClimateMayors2022
"Boulder, CO",United States of America,City,USA,North America,CO,Member of the 22 city member Carbon Neutral Cities Alliance (CNCA),,NA,NA,NA,ClimateMayors2022
"Burlingame, CA",United States of America,City,USA,North America,CA,"15% reduction in greenhouse gas emissions by 2020, below 2005 level",GHG emission reduction target:Community,15,2020,2005,ClimateMayors2022
"Burlingame, CA",United States of America,City,USA,North America,CA,80% reduction by 2050,GHG emission reduction target:Community,80,2050,NA,ClimateMayors2022
"Burlington, VT",United States of America,City,USA,North America,VT,Leveling off the growth of emissions by 2016 down to 2010 levels;,GHG emission reduction target:Community,NA,2016,2010,ClimateMayors2022
"Burlington, VT",United States of America,City,USA,North America,VT,Reduction in 2010 levels by 2025.,GHG emission reduction target:Community,NA,2025,2010,ClimateMayors2022
"Chicago, IL",United States of America,City,USA,North America,IL,"Reduce GHG emissions 25% below 1990 levels by 2020, and 80% below 1990 levels by 2050.",GHG emission reduction target:Community,25,2020,1990,ClimateMayors2022
"Chicago, IL",United States of America,City,USA,North America,IL,"Reduce GHG emissions 25% below 1990 levels by 2020, and 80% below 1990 levels by 2050.",GHG emission reduction target:Community,80,2050,1990,ClimateMayors2022
"Cleveland, OH",United States of America,City,USA,North America,OH,"City operations: Reduce GHG emissions 10% below 2010 levels by 2016, 20% by 2020, and 45% by 2030.",GHG emission reduction target:Local Government,10,2016,2010,ClimateMayors2022
"Cleveland, OH",United States of America,City,USA,North America,OH,"City operations: Reduce GHG emissions 10% below 2010 levels by 2016, 20% by 2020, and 45% by 2030.",GHG emission reduction target:Local Government,20,2020,2010,ClimateMayors2022
