"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2022","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2023","11750","1"
"Åland Islands","2021","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2022","11724","1"
"Åland Islands","2020","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2021","11692","1"
"Åland Islands","2019","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2020","11711","1"
"Åland Islands","2018","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2019","11709","1"
"Åland Islands","2017","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2018","11621","1"
"Åland Islands","2016","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2017","11513","1"
"Åland Islands","2015","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2016","11471","1"
"Åland Islands","2014","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2015","11437","1"
"Åland Islands","2013","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2014","11370","1"
"Åland Islands","2012","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2013","11304.5","1"
"Åland Islands","2011","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2012","11226.5","1"
"Åland Islands","2010","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2011","11156.5","1"
"Åland Islands","2009","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","11064","1"
"Åland Islands","2008","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2009","10954","1"
"Åland Islands","2007","Total","Both Sexes","MARIEHAMN","City proper","Estimate - de jure","Final figure, complete","2007","10863","1"
"Åland Islands","2000","Total","Both Sexes","MARIEHAMN","City proper","Census - de jure - complete tabulation","Final figure, complete","2009","10488","2"
"Albania","2011","Total","Both Sexes","Durrës","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","113249",""
"Albania","2011","Total","Both Sexes","TIRANA","City proper","Census - de jure - complete tabulation","Final figure, complete","2013","418495",""
"Albania","2003","Total","Both Sexes","TIRANA","City proper","Estimate - de facto","Final figure, complete","2004","392863",""
"Algeria","2008","Total","Both Sexes","Adrar","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","200834",""
"Algeria","2008","Total","Both Sexes","Ain Defla","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","450280",""
"Algeria","2008","Total","Both Sexes","Ain Temouchent","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","299341",""
"Algeria","2008","Total","Both Sexes","Annaba","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","442230",""
"Algeria","2008","Total","Both Sexes","Batna","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","768444",""
"Algeria","2008","Total","Both Sexes","Béchar","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","236213",""
"Algeria","2008","Total","Both Sexes","Bejaïa","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","559981",""
"Algeria","2008","Total","Both Sexes","Beskra (Biskra)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","563245",""
"Algeria","2008","Total","Both Sexes","Bordj Bou Arreridj","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","422986",""
"Algeria","2008","Total","Both Sexes","Bouira","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","372196",""
"Algeria","2008","Total","Both Sexes","Boumerdes","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","459250",""
"Algeria","2008","Total","Both Sexes","Chlef","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","521070",""
"Algeria","2008","Total","Both Sexes","El Bayadh","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","192958",""
"Algeria","2008","Total","Both Sexes","El Boulaïda (Blida)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","719515",""
"Algeria","2008","Total","Both Sexes","ALGIERS (EL DJAZAIR)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","2712944",""
"Algeria","2008","Total","Both Sexes","El Djelfa","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","825411",""
"Algeria","2008","Total","Both Sexes","El Oued","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","495573",""
"Algeria","2008","Total","Both Sexes","El Tarf","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","230157",""
"Algeria","2008","Total","Both Sexes","Ghardaïa","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","355701",""
"Algeria","2008","Total","Both Sexes","Ghilizane (Relizane)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","432386",""
"Algeria","2008","Total","Both Sexes","Guelma","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","363716",""
"Algeria","2008","Total","Both Sexes","Jijel","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","391096",""
"Algeria","2008","Total","Both Sexes","Khenchela","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","288849",""
"Algeria","2008","Total","Both Sexes","Laghouat","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","371204",""
"Algeria","2008","Total","Both Sexes","Lemdiyya (Médéa)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","519383",""
"Algeria","2008","Total","Both Sexes","Mestghanem (Mostaganem)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","338143",""
"Algeria","2008","Total","Both Sexes","Mila","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","440735",""
"Algeria","2008","Total","Both Sexes","Mouaskar (Mascara)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","513432",""
"Algeria","2008","Total","Both Sexes","M'Sila","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","666848",""
"Algeria","2008","Total","Both Sexes","Naama","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","160381",""
"Algeria","2008","Total","Both Sexes","Oum El Bouaghi","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","467997",""
"Algeria","2008","Total","Both Sexes","Qacentina (Constantine)","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","717646",""
"Algeria","2008","Total","Both Sexes","Saïda","City proper","Census - de jure - complete tabulation","Final figure, complete","2016","248939",""
