Account Number,City Name,Country,City Short Name,C40,Reporting Year,Measurement Year,Boundary,Primary Methodology,Methodology Details,Gases included,Total City-wide Emissions (metric tonnes CO2e),Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Increase/Decrease from last year,Reason for increase/decrease in emissions,Current Population Year,Current Population,City GDP,GDP Currency,Year of GDP,GDP Source,Average annual temperature (in Celsius)​,​Land area (in square km),Average altitude (m),City Location,Country Location
54650,Prefeitura de Palmas,Brazil,Palmas,,2016,12/31/2013 12:00:00 AM,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",O diagnóstico qualitativo das informações complementa a avaliação quantitativa.,CO2; CH4; N2O; HFCs,625391.59,589055.31,36336.28,This is our first year of calculation,,2015,272726,899887,BRL     Brazilian Real,2016,,,,,"(-10.249091, -48.324286)","(-14.235004, -51.92528)"
59996,Batangas City,Philippines,Batangas,,2016,12/20/2010 12:00:00 AM,A metropolitan area,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,CO2; CH4; N2O,457288,344419,107239,,,2015,332458,,PHP     Philippine Peso,,,25,285,10,"(13.756465, 121.058308)","(12.879721, 121.774017)"
55179,City of Okayama,Japan,Okayama,,2016,03/31/2013 12:00:00 AM,Administrative boundary of a local government,Other,,CO2; PFCs; CH4; SF6; N2O; HFCs,6916000,114000,6802000,,,2015,705917,2066421,JPY     Japanese yen,2015,岡山県統計分析課,16.1,790,55,"(34.655146, 133.919502)","(36.204824, 138.252924)"
57616,"City of Lake Forest, IL",USA,"Lake Forest, IL",,2016,12/31/2007 12:00:00 AM,A metropolitan area,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O,402364,,,This is our first year of calculation,,2010,19375,,,,,8.8,45,205,"(42.258634, -87.840625)","(37.09024, -95.712891)"
58627,"City of Alton, IL",USA,"Alton, IL",,2016,12/31/2013 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; CH4; N2O,401079,138542,262537,This is our first year of calculation,,2015,26581,,USD     US Dollar,2015,N/A,13.7,43,132,"(38.890604, -90.184276)","(37.09024, -95.712891)"
54070,City of Eugene,USA,Eugene,,2016,12/31/2005 12:00:00 AM,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Used the community GHG accounting tool available from ICLEI at the time (2006/2007),CH4; N2O,1250000,1106250,137500,Decreased,"Reductions in vehicle miles travelled, reduced manufacturing locally, warmer winters.",2013,151190,,,,,11.2,113,130,"(44.0519, -123.0867)","(37.09024, -95.712891)"
35858,City of Cape Town,South Africa,Cape Town,C40,2016,12/31/2012 12:00:00 AM,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report.
The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category. 
Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated  into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train)

The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors.

In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.",CO2; CH4; N2O,22643846,9783734,12860112,Decreased,"The City of Cape Town does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).",2014,3918830,2467976,USD     US Dollar,2014,Economic Performance Indicators for Cape Town,16.6,2461,,"(-33.9253, 18.4239)","(-30.559482, 22.937506)"
31154,Bogotá Distrito Capital,Colombia,Bogotá ,C40,2016,12/31/2015 12:00:00 AM,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The IPCC guidelines in 2006 for GHG inventories, specifically for modules: energy, industrial processes and products use, waste and forestry module and land uses.",CO2; CH4; SF6; N2O,12359324.53,10679585.14,1094791.71,Decreased,"Emissions for Energy sector in 2015 are reduced because the projection is from the emissions inventory for 2012 , because the emission factor has a high confidence in compración to that used in 2008.

GHG emissions in the waste sector decreased because the mitigation measures as burning torch and recovery of biogas for energy self-generation are implemented.

Emissions of greenhouse gases have increased for the ASUS sector compared to 2014, because they were projected of the emissions inventory of greenhouse gases of the year 2008, from growth data of the bovine population, ecological structure principal, agriculture in Cundinamarca, and production of products of wood, which have an increasing trend over time.",2015,7878783,50464206,USD     US Dollar,2015,DANE 2016,15,1776,2650,"(4.598056, -74.075833)","(4.570868, -74.297333)"
36037,Santiago de Cali,Colombia,Santiago de Cali,,2016,12/31/2010 12:00:00 AM,Combination of administrative divisions,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,CO2; CH4; N2O,4174608,,,,,2015,2369829,4540,,2012,DAPM,24.7,566,995,"(3.451647, -76.531985)","(4.570868, -74.297333)"
35863,City of Durban,South Africa,Durban,C40,2016,12/31/2014 12:00:00 AM,Other: geopolitical boundary - physical areas over which local government has jurisdictional control,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,CO2; CH4; N2O,22587081,11681810,10905271,Increased,Due to better data collection and addressing data gaps.,2015,3555868,2308000000,ZAR     South African Rand,2015,,24,2292,426,"(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
