Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2019,60588,City of Alba-Iulia,Alba-Iulia,Romania,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,-,,,,,,,,,,,,,,,,,,,,74000,2019,POINT (23.569 46.0823),2020-05-01T03:57:57.217
2019,54627,Prefeitura de Joinville,Joinville,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,590466,2019,POINT (-48.8407 -26.301),2020-05-01T03:57:57.217
2019,36477,Comune di Lucca,Lucca,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,-,,,,,,,,,,,,,,,,,,,,89874,0,POINT (10.6174 43.8399),2020-05-01T03:57:57.217
2019,37241,City of Berkeley,Berkeley,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,2016-01-01 - 2016-12-31,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,,,,,,,,,,,,,,,,121643,2018,,2020-05-01T03:57:57.217
2019,50398,Ciudad de Juárez,Juárez,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,1391180,2015,POINT (-106.425 31.6904),2020-05-01T03:57:57.217
2019,73754,Panaji,,India,South and West Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,-,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,Do not know,Other,,40017,2011,,2020-05-01T03:57:57.217
2019,840349,St Davids,,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,,,,,,,,,,1800,2019,,2020-05-01T03:57:57.217
2019,36223,Antananarivo,Antananarivo,Madagascar,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,1370326,2015,POINT (47.5079 -18.8792),2020-05-01T03:57:57.217
2019,832274,Município de Odemira,,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,26066,2011,,2020-05-01T03:57:57.217
2019,60142,City of Kisumu,Kisumu,Kenya,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,,,,,,,,,,,,,,,,,,,,968909,2010,POINT (34.7679 -0.0917),2020-05-01T03:57:57.217
