actor_id,population,year,datasource_id
AR MDZ,1041282,2022,OEF:UNdata:city_population:20240222
AR MDZ,1033390,2021,OEF:UNdata:city_population:20240222
AR MDZ,1025406,2020,OEF:UNdata:city_population:20240222
AR MDZ,1017327,2019,OEF:UNdata:city_population:20240222
AR MDZ,1094209,2016,OEF:UNdata:city_population:20240222
AR MDZ,1079744,2015,OEF:UNdata:city_population:20240222
AR MDZ,923203,2013,OEF:UNdata:city_population:20240222
AR MDZ,916220,2012,OEF:UNdata:city_population:20240222
AR MDZ,902127,2010,OEF:UNdata:city_population:20240222
AR MDZ,773113,1991,OEF:UNdata:city_population:20240222
