Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC),Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2020,50541,City of Greensboro,Greensboro,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,350.3,296710,2019,POINT (-79.792 36.0726),2021-07-16T02:03:37.903
2020,60264,Prefeitura de Botucatu,Botucatu,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,,144000,2019,POINT (-48.4441 -22.8852),2021-07-16T02:03:37.903
2020,74508,"City of Winona, MN",Winona,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Smaller – covers only part of the city,"Other, please specify: The Climate Registry (TCR)",,,CO2,,,,,,,103592,127003,,,,Decreased,,39.2,26594,2019,POINT (-91.6663 44.0554),2021-07-16T02:03:37.903
2020,54491,Municipality of Málaga,Málaga,Spain,Europe,public,Yes,2017-01-01 - 2017-12-31,,Same – covers entire city and nothing else,Regional or country specific methodology,"Emisiones del Pacto de Alcaldes + emisiones de la industria, el aeropuerto, puerto y otros",,CO2,,,,,,,,,,,,Increased,Increased energy/electricity consumption,75,574654,2019,,2021-07-16T02:03:37.903
2020,54706,Prefeitura Municipal de Boa Vista,Boa Vista,Brazil,Latin America,public,In progress,-,City / Municipality,,,,,,,,,,,,,,,,,,,5687036,576568,2018,POINT (-60.6779 2.83067),2021-07-16T02:03:37.903
2020,36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,public,Intending to undertake in the next 2 years,,Federal district,,,,,,,,,,,,,,,,,,,7315,3278000,2020,POINT (7.39857 9.07647),2021-07-16T02:03:37.903
2020,32550,City of Denver,Denver,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Denver conducts a Basic+ Inventory every five years (2015, 2020, etc) with a Basic inventory in each interim year.  Consumption metrics are also collected annually.",Yes,"CH4, CO2, N20",,4667359,,3804801,,855427,,,,,,Decreased,Technological change,401,716492,2018,POINT (-104.985 39.7376),2021-07-16T02:03:37.903
2020,847246,La Francia,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,2448.62,,3088.09,,969.43,,,,,,This is our first year of calculation,"Other, please specify: Todavía no se cuenta con una sucesión de inventarios que permitan observar tendencias. Se espera poder realizar en el corto plazo una actualización del inventario de emisiones a escala comunitaria con año base 2020.",9.64,6212,2018,,2021-07-16T02:03:37.903
2020,35449,Stadt Zürich,Zürich,Switzerland,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: 2000-Watt-Methodology","The 2000-Watt society methodology is a concept of sustainable development that uses two indicators: Primary energy demand and greenhouse gas emissions. The methodology is based on the final energy demand. Primary energy factors and GHG emission coefficients are identified according to the ecoinvent database (database with consistent and transparent, up-to-date Life Cycle Inventory (LCI) data – www.ecoinvent.org/database/). The grey energy of net imported other goods and services is not included in the methodology used by the city of Zurich as there is no specific data available. The methodology does not include emissions from non-energetic sources (e.g. landfills, waste water treatment).  Primary energy, final energy and effective energy: The 2000-watt methodology defines primary energy as the total energy present in the original energy source, plus its grey energy. The energy that reaches the customer, after all conversion and transmission losses, is called final energy. In turn, only a part of this is actually used: the effective energy. The rest is lost as waste heat. Basis for all calculations is the final energy demand.  Territorial principle: Basis of the methodology is the territorial principle. It refers to the energy consumed in the city area and the emissions which occur there. The energy sources grey energy and grey emissions are also taken into account. The grey energy of net imported other goods and service is not included in the 2000 watt society methodology (lack of specific data). However, the aim is to separately calculate and indicate the grey energy of net imported other goods and services.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,892116,,269138,,,,,,,,Decreased,Technological change,91.9,434008,2019,POINT (8.53918 47.3686),2021-07-16T02:03:37.903
2020,31113,City of Yokohama,Yokohama,Japan,East Asia,public,Yes,2017-04-01 - 2018-03-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",19507573,10986381,,7542832,,2262882,,,,,,Decreased,"Other, please specify",435,3753771,2020,POINT (139.638 35.4437),2021-07-16T02:03:37.903
2020,53829,"City of Kingston, ON",Kingston,Canada,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2",,,,,,,1149000,,,,,,,450,124000,2016,,2021-07-16T02:03:37.903
2020,826236,Prefeitura de Tremembé,Tremembé,Brazil,Latin America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,,192,47185,2019,POINT (-45.548 -22.9576),2021-07-16T02:03:37.903
2020,54085,City of Savannah,Savannah,United States of America,North America,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,2063648,,1642104,,,,,,,,,,278,145674,2015,POINT (-81.0998 32.0835),2021-07-16T02:03:37.903
2020,50392,Prefeitura de Vitória,Vitória,Brazil,Latin America,public,Yes,2010-01-01 - 2010-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Padrão ou Protocolo	GLOBAL PROTOCOL FOR COMMUNITY-SCALE GREENHOUSE GAS EMISSIONS (GPC) - Pilot Versão 1.0 – May 2006(ICLEI, C40, WRI)Alcance	Basic+Limites geográficos	CARIACICA, FUNDÃO, GUARAPARI, SERRA, VIANA, VILA VELHA E VITÓRIALimites operacionais	Todas as emissões do escopo 1 e escopo 2 de unidades estacionárias, unidades móveis, resíduos, processos industriais e usos de produtos, assim como de agricultura, silvicultura e outros usos da terra (AFOLU).  Todas as emissões do escopo 3 do setor resíduos Todas as emissões do escopo 3 de unidades móveisFoco	Top down para uso de uso de produtos, processos industriais e efluentes líquidos Bottom up para uso de combustíveis, produção de energia, resíduos e AFOLUAno do Inventário	2010",Yes,"CH4, CO2, HFCs, N20, PFCs, SF6",,,,,,,,,,,,Increased,Increased energy/electricity consumption,,327801,2010,POINT (-40.3776 -20.3338),2021-07-16T02:03:37.903
