Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
BP West Coast Products LLC,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,BP America Inc.,NA,NA,NA,6092051,0,6092051,0,0,0,0,0,0,,,,
"Interfor US, Inc. - Port Angeles",2018,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,35595,35126,0,68,402,0,0,0,0,,2,"(48.103425, -123.518642)",POINT (-123.518642 48.103425)
Fairchild AFB - Spokane Co.,2016,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,13586,0,13572,7,8,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
The Boeing Company,2020,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,NA,NA,NA,77060,0,77060,0,0,0,0,0,0,,,,
CHS Inc.,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,4247,Petroleum and Petroleum Products Merchant Wholesalers,CHS Inc.,NA,NA,NA,1228254,0,1228254,0,0,0,0,0,0,,,,
"UPS Fuel Services, Inc.",2018,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",NA,NA,NA,35464,0,35464,0,0,0,0,0,0,,,,
United Parcel Service Co,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,481112,Scheduled Freight Air Transportation,"UPS, Inc.",NA,NA,NA,62859,0,62859,0,0,0,0,0,0,,,,
"World Fuel Services, Inc.",2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",NA,NA,NA,262127,4796,257331,0,0,0,0,0,0,,,,
Wilson Oil Inc,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"Wilson Oil Inc, Steve Wilcox",NA,NA,NA,1232072,50925,1181147,0,0,0,0,0,0,,,,
Sinclair Oil Corporation,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,NA,NA,NA,15653,0,15653,0,0,0,0,0,0,,,,
"UPS Fuel Services, Inc.",2012,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",NA,NA,NA,31398,0,31398,0,0,0,0,0,0,,,,
Tesoro Refining & Marketing Company LLC,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,324110,Petroleum Refineries,Marathon Petroleum Corp,NA,NA,NA,6158377,0,6158377,0,0,0,0,0,0,,,,
The Boeing Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,336411,Aircraft Manufacturing,The Boeing Company,NA,NA,NA,107661,0,107661,0,0,0,0,0,0,,,,
Western Petroleum Company,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",NA,NA,NA,63500,457,63043,0,0,0,0,0,0,,,,
