actor_id,type,name,is_part_of,is_owned_by,datasource_id
CA:ECCC:G10001,site,Division Alma,CA YTF,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10001,site,"Abitibi-Consolidated, Division Alma",CA YTF,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10001,site,"Abitibi Consolidated, Division Alma",CA YTF,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10002,site,Aciérie - Complexe de Contrecoeur,CA COC,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10002,site,Aciérie - ArcelorMittal Contrecoeur,CA COC,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10003,site,"Foothills Pipeline System, Alberta",CA AIR,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10003,site,"Foothills Pipeline, Alberta",CA AIR,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10003,site,"Acme Compressor Station # 363, Alberta",CA AIR,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10004,site,Kingston CoGen,CA BTH,549300IT8CIDW8V5KX72,ECCC_GHGRP:2022-04-14
CA:ECCC:G10004,site,NPIF Kingston CoGen Corp (formerly AES Kingston ULC),CA BTH,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10004,site,NPIF Kingston CoGen Inc.(formerly AES KingstonULC),CA BTH,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10004,site,NPIF Kingston CoGen Corp.,CA BTH,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10004,site,Kingston CoGen,CA BTH,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10004,site,AES Kingston ULC,CA BTH,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10005,site,AFG Industries Ltée,CA-QC,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10005,site,AGC Flat glass North America ltée,CA-QC,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10006,site,Redwater Fertilizer Operations,CA-AB,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10006,site,Agrium Redwater Fertilizer Operation,CA RWA,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10006,site,Redwater Fertilizer Operations,CA RWA,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10007,site,Alberta Envirofuels Inc.,CA EDM,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10007,site,Alberta Envirofuels,CA EDM,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10008,site,Alberta Pipeline System,CA CAL,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10008,site,Alberta Pipeline System,CA-AB,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10008,site,Alliance Pipeline Ltd. - AB Pipeline System,CA CAL,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10009,site,Alberta-Pacific Forest Industries Inc.,CA-AB,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10009,site,Alberta-Pacific Forest Industries Inc. Pulp Mill,CA-AB,,ECCC_GHGRP:2022-04-14
CA:ECCC:G10010,site,Rio Tinto Alcan Inc.,CA KTM,,ECCC_GHGRP:2022-04-14
