"Year.Reported.to.CDP","Account.Number","Organization","City","Country","CDP.Region","Access","City.boundary","Type.of.target","Sector","Identify.and.explain.sources.that.differ.from.the.inventory","Target.boundary.relative.to.city.boundary","Base.year","Year.target.was.set","Base.year.emissions..metric.tonnes.CO2e.","Percentage.reduction.target","Target.year","Target.year.absolute.emissions..metric.tonnes.CO2e.","Projected.population.in.target.year","Intensity.unit..Emissions.per.","Base.year.emissions.per.intensity.unit..metric.tonnes.CO2e.per.denominator.","Estimated.business.as.usual.absolute.emissions.in.target.year..metric.tonnes.CO2e.","Percentage.of.target.achieved.so.far","Select.the.initiatives.that.this.target.contributes.towards","Description.of.the.target.and.the.modelling.methodology.ies..and.parameters.used.to.define.it","Does.this.target.align.with.the.global.1.5...2..C.pathway.set.out.in.the.Paris.Agreement.","Does.this.target.align.to.a.requirement.from.a.higher.level.of.government.","Target.description","Population","Population.Year","City.Location","Last.update","name","entity_type","iso"
2021,31154,"Bogotá Distrito Capital","Bogotá","Colombia","Latin America","public","City / Municipality","Baseline scenario (business as usual) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2017,2020,11424724,15,2024,NA,NA,NA,NA,13438701,NA,"Individual City Commitment","El Plan de Desarrollo Distrital, establece como objetivo de mitigación de la ciudad, logra que en el  2024 las emisiones estén 15% por debajo del nivel del escenario BAU, alcanzando en 2024 el mismo nivel de emisiones que el del año base (2017); en 2030 se espera que las emisiones con respecto al escenario BAU sean del 50%, alcanzando, en ese año, una reducción de aproximadamente un tercio de las emisiones comparado con el año base (2017) y, finalmente, alcanzar la carbono neutralidad en 2050. Estos escenarios de emisión se construyeron utilizando la herramienta Pathways, teniendo al 2017 como el año base. Los dos escenarios son el escenario business-as-usual (BAU) y el escenario ambicioso de mitigación.","Yes - 1.5 °C","Yes, and it exceeds its scale or requirement","Al momento de definir la meta de la ciudad, la NDC Colombiana sometida en 2015 apuntaba a una reducción del 20% de las emisiones en 2030 con respecto a la línea base.  En 2020 se llevó a cabo el proceso de actualización de la NDC y la definición de la meta de Bogotá. La ciudad  se comprometió con una mitigación del 50% con respecto a la línea base en marzo de 2020, superando la ambición de la NDC vigente en ese momento. La ambición de la ciudad se tuvo en cuenta para definir el nivel de la meta nacional comunicada en diciembre de ese mismo año: mitigación del  51% en 2030 con respecto a la línea base. Adicionalmente Bogotá también procurar alcanzar la carbono neutralidad en 2050.",7333415,2017,"POINT (-74.0721 4.711)","2021-10-04T09:30:14.243","Bogotá","City","COL"
2021,43907,"City of Indianapolis, IN","Indianapolis","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2010,2019,16408065,100,2050,0,NA,NA,NA,NA,NA,NA,NA,"Yes - 2 °C","Yes","Indianapolis’ target is currently more ambitious than the Federal Government’s target.",883570,2020,"POINT (-86.1785 39.7676)","2021-10-04T09:30:14.243","Indianapolis, IN","City","USA"
2021,35898,"Greater Manchester","Manchester","United Kingdom","Europe","public","Metropolitan area","Base year emissions (absolute) target","All emissions sources included in city inventory","Not applicable - same boundary.","Same (city-wide) – covers entire city and nothing else",1990,2019,21200000,97.3,2038,572400,NA,NA,NA,NA,16.7,"Cities Race to Zero",NA,"Yes - 2 °C","Yes, but it exceeds its scale or requirement","The target, set in Greater Manchester’s 5 Year Environment Plan, is based on research carried out by the Tyndall Centre, Manchester. This research proposed a target, adopted as above in Greater Manchester, which is compliant with the Paris Agreement to “hold the increase in global average temperature to well below 2°C above pre-industrial levels and pursue efforts to limit the temperature increase to 1.5°C”. This sets a long term carbon budget, a sequence of 5-year carbon budgets and a date of effective carbon neutrality, all adopted in Greater Manchester’s 5-Year Environment Plan.",2835686,2019,"POINT (-2.15783 53.4576)","2021-10-04T09:30:14.243","Manchester","City","GBR"
2021,36043,"Abuja Federal Capital Territory","Abuja","Nigeria","Africa","public","Federal district","Base year intensity target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3464000,2021,"POINT (7.39857 9.07647)","2021-10-04T09:30:14.243","Abuja","City","NGA"
2021,859166,"Tadotsu Town",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Tadotsu","City","JPN"
2021,54498,"Ayuntamiento de Murcia","Murcia","Spain","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Larger – covers the whole city and adjoining areas",2007,2007,2141277,20,2020,1713021.6,NA,NA,NA,NA,21.32,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 2 °C","Yes","Reducir un 20% las emisiones de CO2 en el año 2020.Reducir un 40% las emisiones de CO2 en el año 2030.",459403,2020,"POINT (-1.00495 37.799)","2021-10-04T09:30:14.243","Murcia","City","ESP"
2021,73734,"Envigado",NA,"Colombia","Latin America","public","City / Municipality","Baseline scenario (business as usual) target","Other, please specify: Agricultura. silvicultura y otros usos de la tierra (AFOLU)",NA,"Same (city-wide) – covers entire city and nothing else",2018,2021,16911,20,2050,NA,NA,NA,NA,26378,20,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes",NA,228848,2018,NA,"2021-10-04T09:30:14.243","Envigado","City","COL"
2021,859089,"Satte City",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Satte","City","JPN"
2021,43912,"City of Edmonton, AB","Edmonton","Canada","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2015,18246963,35,2035,11860525.95,NA,NA,NA,NA,14,"Global Covenant of Mayors for Climate & Energy; Other, please specify: Edmonton Declaration",NA,"No","No","The City of Edmonton's target is for the total emissions of all included sectors. This recognizes that each sector's individual achievements may vary slightly from this target, but cumulatively they must reach this goal. Canada's NDC is 30% below 2005 by 2030, so the City's target exceeds Canada's NDC.",1047526,2020,"POINT (-113.491 53.5444)","2021-10-04T09:30:14.243","Edmonton, AB","City","CAN"
2021,859151,"Kato City",NA,"Japan","East Asia","public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Kato","City","JPN"
2021,54328,"City of Niigata",NA,"Japan","East Asia","public","Special city","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2013,NA,7908000,30,2024,5535600,NA,NA,NA,NA,64.9,"Global Covenant of Mayors for Climate & Energy",NA,"Do not know","Do not know",NA,796670,2018,NA,"2021-10-04T09:30:14.243","Niigata","City","JPN"
2021,53879,"City of Jersey City, NJ","Jersey City","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","Transport","No difference from inventory","Same (city-wide) – covers entire city and nothing else",2016,2021,880044,80,2050,176008.8,NA,NA,NA,NA,0,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 2 °C","No","Transportation accounts for 30% of Jersey City community emissions. A majorfocus of Jersey City’s approach to reducing transportation emissions is to improveopportunities for bicycling, walking and use of transit. While transit use is alreadyrelatively high in Jersey City, some parts of the city have limited access to transit. Inaddition, adding infrastructure for safer and more enjoyable bicycling and walkingis a priority. Planning and zoning also presents an opportunity to strengthen mixeduse walkable communities, while also increasing tree canopy and green space toincrease resilience to heat and flooding events. In addition to the above strategies,Jersey City will promote electrification of municipal, transit, and private vehicles.",261746,2018,NA,"2021-10-04T09:30:14.243","Jersey City, NJ","City","USA"
2021,18078,"Swale Borough Council",NA,"United Kingdom","Europe","public","Other, please specify: District/Borough Council","Fixed level target","All emissions sources included in city inventory",NA,"Local Government Operations – covers only emission sources owned and operated by local government",NA,2019,NA,NA,2025,1112.84,NA,NA,NA,NA,NA,"Cities Race to Zero",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","SBC aims to achieve net-zero carbon emissions across it's own estate by 2025. The projects identified have the potential to reduce SBC’s emissions by a cumulative figure of 1,115 tCO2e per annum by 2025. This equates to a total reduction in emissions of 43% between 2018 and 2025; this reduction can be broken down in to scope 1 & 2 emissions (90% reduction) and scope 3 (35% reduction). The substantial difference in percentage reductions between the scopes comes down to the greater ability for the council to influence its scope 1 & 2 emissions compared to scope 3. The outlined projects do not, however, allow the council to reach ‘neutral’ emissions – there is a gap to target of 1,473 tCO2e. It is likely that to reach the council’s ambition of being carbon neutral they must look to offset this ‘gap to target’.",148500,2018,NA,"2021-10-04T09:30:14.243","Swale Borough","City","GBR"
2021,54109,"City of Bloomington, IN","Bloomington","United States of America","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2018,2021,1328610,25,2030,996457.5,NA,NA,NA,NA,0,NA,NA,"Yes - 1.5 °C","No",NA,85755,2019,"POINT (-86.5264 39.1653)","2021-10-04T09:30:14.243","Bloomington, IN","City","USA"
2021,1499,"Ajuntament de Barcelona","Barcelona","Spain","Europe","public","City / Municipality","Base year emissions (absolute) target","Waste",NA,"Same (city-wide) – covers entire city and nothing else",2017,2020,364240,49,2030,185762.4,NA,NA,NA,NA,3,"Global Covenant of Mayors for Climate & Energy; Individual City Commitment",NA,"Yes - 1.5 °C","No","National and regional laws have not developed yet a territorial and sectorial plan to achieve their targets,  so it is not possible to set yet if it is more ambitious or not. Global city goal is more ambitious than national and regional.",1664182,2020,"POINT (2.1775 41.3823)","2021-10-04T09:30:14.243","Barcelona","City","ESP"
2021,834377,"Takarazuka City",NA,"Japan","East Asia","public","Special city","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",1990,NA,670000,3.73,2020,645009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Takarazuka City","City","JPN"
2021,31169,"Government of Hong Kong Special Administrative Region","Hong Kong","Hong Kong","East Asia","public","City / Municipality","Base year intensity target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2017,41200000,65,2030,26368000,NA,"Other, please specify: Metric tonnes of CO2e per unit GDP (in HK dollar)",0.03,NA,55,"This target does not contribute towards an initiative commitment",NA,"Yes - 2 °C","Yes","The Government of the Hong Kong Special Administrative Region (HKSAR) of the People's Republic of China released Hong Kong’s Climate Action Plan 2030+ in 2017 which sets out the target to reduce HKSAR’s carbon intensity by 65% to 70% between 2005 and 2030.  As mentioned in our emails to CDP dated 31 October and 1 November 2019, the target year absolute emission of the HKSAR for 2030 could not be entered onto the CDP system due to input restriction, i.e. the input of a numerical range is not allowed for that particular field.  As a record, please note that the target year absolute emissions are 26,368,000 - 30,488,000 tonnes for 2030.",7481800,2020,"POINT (114.14 22.2881)","2021-10-04T09:30:14.243","Hong Kong","City","HKG"
2021,850538,"Prefeitura de Treze Tílias",NA,"Brazil","Latin America","public","City / Municipality","No target",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7991,800,NA,"2021-10-04T09:30:14.243","Treze Tílias","City","BRA"
2021,58865,"Jammerbugt Kommune","Jammerbugt","Denmark","Europe","public","City / Municipality","Fixed level target","Waste",NA,"Same (city-wide) – covers entire city and nothing else",NA,1990,NA,NA,2030,3600,38466,NA,NA,NA,47.6,"Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Global Covenant of Mayors for Climate & Energy",NA,"Yes - 1.5 °C","Yes",NA,38638,2018,"POINT (9.54153 57.1453)","2021-10-04T09:30:14.243","Jammerbugt","City","DNK"
2021,862573,"Regional District of Central Kootenay, BC",NA,"Canada","North America","public","Other, please specify: Regional District","Base year emissions (absolute) target","Other, please specify: Community emissions only, does not include corporate emissions",NA,"Same (city-wide) – covers entire city and nothing else",2007,2011,163625,80,2050,32725,NA,NA,NA,NA,0,NA,NA,"No","No","More ambitious emission reduction targets that align with national targets have not yet been formally adopted by the RDCK.",59517,2016,NA,"2021-10-04T09:30:14.243","Regional District of Central Kootenay, BC","City","CAN"
2021,826446,"City of Bradford","Bradford","United Kingdom","Europe","public","Metropolitan area","Fixed level target","All emissions sources included in city inventory","n/a","Local Government Operations – covers only emission sources owned and operated by local government",NA,NA,NA,NA,2030,NA,NA,NA,NA,NA,NA,"Cities Race to Zero; Declaring Climate Emergency; Individual City Commitment",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","Bradford Council adoption of 2030 net zero organisation 'target' to steer planning, interventions, monitoring, reporting and risk management and to seek to lead by example as a leading civic  body.",533900,2017,"POINT (1.754 53.792)","2021-10-04T09:30:14.243","Bradford","City","GBR"
2021,54088,"City of Peterborough, ON","Peterborough","Canada","North America","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Local Government Operations - covers only emission sources owned and operated by local government",2011,2019,22491,100,2050,0,NA,NA,NA,NA,18,"Declaring Climate Emergency; Individual City Commitment",NA,"Yes - 1.5 °C","No","A net-zero target was declared to be achieved by 2050 for all city-owned operations under the Climate Emergency Declaration (2019).",82094,2016,NA,"2021-10-04T09:30:14.243","Peterborough, ON","City","CAN"
2021,54341,"Toyama City",NA,"Japan","East Asia","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",2005,2019,4047000,30,2030,2832900,NA,NA,NA,NA,37,"Global Covenant of Mayors for Climate & Energy",NA,"Yes - 2 °C","Yes","2019年に、温室効果ガス排出量を2030年までに2005年比30％削減する目標を設定した。この目標は、当自治体のインベントリで対象となるすべての排出発生源（建物、境界内輸送機関、廃棄物）に適用する。",418686,2015,NA,"2021-10-04T09:30:14.243","Toyama","City","JPN"
2021,859111,"Suwa City",NA,"Japan","East Asia","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",1990,NA,381000,24.93,2020,286016.7,NA,NA,NA,NA,38.14,NA,NA,NA,NA,NA,NA,NA,NA,"2021-10-04T09:30:14.243","Suwa","City","JPN"
2021,36493,"Comune di Pescara","Pescara","Italy","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory","https://www.pattodeisindaci.eu/about-it/la-comunità-del-patto/firmatari/visione-d-insieme.html?scity_id=13826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119455,2021,"POINT (14.2135 42.4639)","2021-10-04T09:30:14.243","Pescara","City","ITA"
2021,3422,"Greater London Authority","London","United Kingdom","Europe","public","City / Municipality","Base year emissions (absolute) target","All emissions sources included in city inventory",NA,"Same (city-wide) – covers entire city and nothing else",1990,2020,45050000,100,2030,0,NA,NA,NA,NA,29,"Cities Race to Zero; Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy; Individual City Commitment",NA,"Yes - 1.5 °C","Yes, but it exceeds its scale or requirement","London has a net zero target for 2030. London's target is more ambitious than the UK's target to be net zero by 2050. The UK’s NDC commits to a 68% reduction in emissions by 2030 compared to 1990 levels.",8908081,2018,"POINT (-0.07868 51.5048)","2021-10-04T09:30:14.243","London, UK","City","GBR"
2021,35860,"City of Dallas, TX","Dallas","United States of America","North America","public","City / Municipality","Fixed level target","All emissions sources included in city inventory","N/A","Same (city-wide) – covers entire city and nothing else",NA,2020,NA,NA,2050,0,1705000,NA,NA,NA,20,"Individual City Commitment; Other, please specify: Paris Accords",NA,"Yes - 2 °C","No","There is no target set by the U.S. Federal Government or the State of Texas at this time.  This is a target selected by the City of Dallas.",1345047,2018,"POINT (-96.8004 32.7801)","2021-10-04T09:30:14.243","Dallas, TX","City","USA"
