Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Protocol column,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,GDP,GDP Currency,GDP Year,GDP Source,Average annual temperature (in Celsius)​,​Average altitude (m),​Land area (in square km),City Location,Country Location
49363,Nelson Mandela Bay Municipality,Nelson Mandela Bay ,South Africa,Africa,,Public,2017,2013-07-01 - 2014-06-30,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,12232310,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2249502,9982808,,Increased,We are gradually improving the accuracy of our data collection,1152115,2011,52147,ZAR     South African Rand,2010,Built Environment Performance Plan(BEPP),17.5,69,1950,"(-33.745241, 25.568108)","(-30.559482, 22.937506)"
31171,Ayuntamiento de Madrid,Madrid,Spain,Europe,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Adaptation from Madrid Air Quality Inventory elaborated under the frame of EMEP CORINAIR METHOLOGY,,9236196,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",7069783,3408424,,Decreased,"A decrease  of a 2,17 % in global emissions in 2014 in comparison to 2013, Although Scope 2 and 3 Emissions have been increased in a 4,86 %, Scope 1 emissions have been reduced in a 5,57 %",3165883,2016,129378000000,EUR     Euro,2015,Contabilidad Municipal Trimestral. Ciudad de Madrid. Base 2010. Serie 2000-2015,15,655,604,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
3417,New York City,New York City,USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","ConEdison (ConEd) provided data on use of citywide electricityand steam, and natural gas in the Bronx, Manhattan, and parts ofQueens. National Grid reported natural gas use data for Brooklyn,parts of Queens, and Staten Island. The Long Island Power Author-ity (LIPA) reported electricity use data for the Rockaways area ofQueens. Fuel oil use was provided by private fuel oil suppliers, perLocal Law 43 of 2013, which requires fuel oil providers to reportfuel oil deliveries by fuel type to the City on an annual basis. TheNew York Metropolitan Transportation Council (NYMTC) providedon-road transportation vehicle-miles-traveled (VMT) data. Energyuse data for public transit were provided by the MetropolitanTransportation Authority (MTA) for New York City Transit (NYCT)subways and buses, Staten Island Railway (SIR), MTA Metro-NorthRail Road (MNR) and Long Island Railroad (LIRR) commuter rail,and MTA Bus Company buses; by the Port Authority of New Yorkand New Jersey (PANYNJ) for Trans-Hudson (PATH) commuter rail;and New Jersey Transit (NJT) for its commuter rail and buses.Data used to calculate fugitive and process CH4 and process N2Ofrom wastewater treatment were provided by DEP. CH4 emissionswere calculated based on the destruction of volatile material inanaerobic digesters. Based on the measured concentration andflow of volatile organic solids, it is estimated that 15 cubic feet ofdigester gas is produced for every pound of volatile organic solidsdestroyed. N2O emissions were calculated by applying the dailynitrogen load discharged by each of the City’s 14 wastewatertreatment plant to the formula in the LGOP.Fugitive CH4 from in-city landfills was calculated from landfill gascollection data provided by the New York City Department of Sani-tation (DSNY) and DEP per the LGOP. Fugitive CH4 from exportedsolid waste was calculated using waste disposal figures for resi-dential, commercial, and construction and demolition waste andapplying emissions factors from the USCP, which were taken fromEPA’s Waste Reduction Model (WARM). Fugitive CH4 from naturalgas distribution was calculated using data provided by NationalGrid and ConEd. Fugitive SF6 from electricity distribution was cal-culated using data provided by ConEd. .",,52042186,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",38962264,14343743,,Decreased,The most significant driver was a milder winter in 2015 versus 2014.,8537673,2016,1558520000000,USD     US Dollar,2015,http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor,13,10,784,"(40.7127837, -74.0059413)","(37.09024, -95.712891)"
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Since 2006, the City has utilized software developed and endorsed by ICLEI Local Governments for Sustainability (ICLEI) and partners including the National Association of Clean Air Agencies (NACAA) and the U.S. Environmental Protection Agency (USEPA).  The software has been updated over time to reflect current scientific understanding and to remain consistent with the latest inventory protocols. Since 2011, the City has used ICLEI’s web-based ClearPath software, which allows for efficient protocol updates, technical support, and improved forecasting and planning strategies. Data pertaining to energy use, fuel consumption, and waste is gathered from City departments, community agencies, and service providers and entered into the software to generate GHG inventories for both municipal operations and for the community as a whole. The software uses the latest methods and emissions factors to translate this data into equivalent CO2 emissions.",CO2; CH4; N2O,1604007,Total Scope 1 and Scope 2,898681,759270,The one sector of tracking and reporting accurate emissions that we lack some confidence is Transportation because the figures are based on estimations from a regional council of governments.,Decreased,"Overall Community GHGs have fallen 1% since 2002, with a 13% reduction since 2006. Generally we continue on a downward emissions trend, with a 1% reduction from 2011 to 2015. Community emissions per capita have also steadily dropped over time from 17.51 to 12.24 metric tons CO2e/person, a 30 % reduction, from 2002 to 2015. In addition, per capita emissions are 34% lower for Denton than for the U.S. average, in 2015 (World Bank). 

The largest sources of community GHGs are from transportation (46%) and from residential (19%), commercial (10%), and industrial (18%) electricity consumption (together totaling 47% of Community GHGs). Emissions from the wastewater digester represent less than 1 % of total municipal GHG’s.

As with municipal operations, Community electricity related emissions have dropped by 26% from 2006, including a 3% drop from 2011 to 2015. This reduction is largely due to DME purchasing 40% wind electricity for all Denton customers beginning in 2009, and reducing purchases from coal produced electricity by 44% from 2011 to 2015.  It is important to note, that electricity related emissions from municipal operations dropped 11% from 2011 to 2015. In addition DME expanded it’s free residential and small commercial energy audit program in 2008, and launched the GreenSense Energy Efficiency Rebate program for residential and small commercial customers in 2009.  The City created a Conservation Program Coordinator position in 2014 to enhance the audit and rebate program, and to develop increased public education about energy and water conservation. In addition, the City created a Bike and Pedestrian Coordinator position in 2015, to implement the Bike Plan adopted in February 2012. The Coordinators responsibilities include promoting bicycle and pedestrian infrastructure, education, and community events.",131044,2015,,,,,18.2,192,227.8,"(33.214841, -97.133068)","(37.09024, -95.712891)"
35894,Ville de Montreal,Montreal,Canada,North America,C40,Public,2017,2013-01-01 - 2013-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,10197555,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",10729801,61912,,Decreased,"Agglomeration-wide GHG emissions were 25% lower in 2013 compared to 1990, the baseline year. This is due to a combination of factors including :

- Decreased consumption of fuel oil of all sectors stationary energy
- Closure of one oil refinery.
- Increased efficiency of collecting biogas from landfills


Also, GHG emissions were 21 % lower in 2013 compared to 2009, the previous inventory, without factoring in methodological changes applied in 2013.",1959987,2013,115412801,CAD     Canadian Dollar,2013,Institut de la statistique du Québec,6.8,17,500,"(45.5086699, -73.5539925)","(56.130366, -106.346771)"
2430,City of Burlington,Burlington,USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),"The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.",CO2,405385,Total Scope 1 and Scope 2,405382,37305,This number is the total amount of emissions provided in our GHG emissions inventory and modeling workbook.,Decreased,"Burlington continues to ""green"" its energy mix. With cleaner sources of energy supplying electricity to the grid, fewer emissions are being released.",42284,2015,12700000,USD     US Dollar,2014,Bureau of Economic Analysis,7.7,61,40.1,"(44.4758825, -73.212072)","(37.09024, -95.712891)"
43937,Wellington City Council,Wellington,New Zealand,South Asia and Oceania,,Public,2017,2014-07-01 - 2015-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,773061,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",621179,171780,,Decreased,"The decrease in emissions we have experienced is largely due to reductions in emissions from stationary energy. This decrease is primarily from a reduction in demand, but also from the increasing proportion of renewable energy generated in New Zealand.",209102,2017,18452000000,NZD     New Zealand Dollar,2015,Infometrics,12.7,,290.1,"(26.661763, -80.268357)","(-40.900557, 174.885971)"
16581,City of Seattle,Seattle,USA,North America,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Please see detailed source notes throughout the inventory document. The inventory also conforms to the GPC,CO2; CH4; SF6,3471000,Total Scope 1 and Scope 2,,,The level of uncertainty associated with the data is addressed in the source notes in each section. http://www.seattle.gov/Documents/Departments/OSE/ClimateDocs/2014GHG%20inventorySept2016.pdf,Decreased,"The total amount of GHGs emitted from the core emissions sources has declined 6% between 2008 and 2014, from 3.7 to 3.5 million metric tons of CO2-equivalent (CO2e).  However, Seattle’s population grew by 13% in the same period resulting in a per person decline in emissions of 17%.
Road transportation has been the largest category of emissions since 1990. Total emissions in this sector increased between 1990 and 2008, however, they have been decreasing since 2008. Advances in vehicle technology, plus a trend towards fewer vehicle miles travelled per person, have led both to decreased absolute emissions from road transportation (down 2% since 2008) and decreased emissions per person (down 13% during this period).
Between 2008 and 2014, building-related emissions declined as a result of lower overall building energy use, particularly for residential buildings, due to energy efficiency, more multi-family living, and especially by warmer weather that reduced winter heating needs.

This decline, though modest, is more impressive considering Seattle’s population and economy have grown considerably since 1990.  On a per resident basis, Seattle’s emissions declined  22% per since 1990 and 6% since 2008.

A number of factors led to emissions decreases that counteracted the effect of population and economic growth, especially (as already noted) the decrease in carbon intensity of Seattle City Light’s electricity, more efficient cars and trucks, and building efficiency (including smaller dwellings) and fuel switching.  Increased efficiency of air travel also contributed to a decrease in GHG emissions.",662400,2015,300827000000,,2014,US Dept Commerce for Seattle-Tacoma-Bellevue region,11,15,3692,"(47.6062, -122.3321)","(37.09024, -95.712891)"
54386,Tainan City Government,Tainan ,Taiwan,East Asia,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),"In addition  to IEAP, we also use the GPC and ""Guide for GHG inventory"" to calculate the GHG emission.",CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,21458525,Total Scope 1 and Scope 2,8327944.05,13130580.47,,Decreased,"First, the amounts of LPG and heavy oil from industry were decreased and some replace LPG and heavy oil as LNG.",1886033,2016,42492323490,USD     US Dollar,2016,"National Statistics, ROC (Taiwan)",24,,2192,"(22.9999, 120.2269)","(23.69781, 120.960515)"
49342,City of Rochester,Rochester,USA,North America,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2; CH4; N2O,1800000,Total Scope 1 and Scope 2,,,"This GHG inventory was conducted by the Brendle Group, a Colorado-based environmental consulting firm.",,,210563,2010,43202,USD     US Dollar,2013,Open Data Network,9,154,96,"(43.161, -77.6109)","(37.09024, -95.712891)"
