Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2018,56276,New Taipei City Government,New Taipei,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,7653808,,,18235086,19019096,Decreased,Behavioural change,,3986689,2017,POINT (121.446 25.0111),2020-05-01T03:57:54.890
2018,35913,City of Nairobi,Nairobi,Kenya,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,4500000,2017,POINT (36.8219 -1.29206),2020-05-01T03:57:54.890
2018,58865,Jammerbugt Kommune,Jammerbugt,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,Regional or country specific methodology,,,CO2,,,,,,,180000,0,,Not Applicable,Not Applicable,Do not know,Change in staff,,38500,2016,POINT (9.54153 57.1453),2020-05-01T03:57:54.890
2018,58668,"City of New Bedford, MA",New Bedford,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,328329,152164,0,480493,0,,,,95120,2017,POINT (-70.9342 41.6362),2020-05-01T03:57:54.890
2018,826423,Município de Castelo Branco,Castelo Branco,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,52703,2017,POINT (-7.49189 39.8239),2020-05-01T03:57:54.890
2018,50375,Ayuntamiento de Chihuahua,Chihuahua,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,819543,2010,POINT (-106.076 28.6368),2020-05-01T03:57:54.890
2018,36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,,,,,,,,,,,,,,,,This is our first year of calculation,,,2440553,2010,POINT (-79.9223 -2.17099),2020-05-01T03:57:54.890
2018,50544,"City of Aurora, IL",Aurora,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,203195,2017,POINT (41.7606 88.3201),2020-05-01T03:57:54.890
2018,54652,Prefeitura de Osasco,Osasco,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,676.149,2017,POINT (23.5328 46.7919),2020-05-01T03:57:54.890
2018,45219,Município de Aparecida,Aparecida,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,36279,2017,POINT (-41.6667 -20.7),2020-05-01T03:57:54.890
2018,831616,Commune de Tsévié,Tsévié,Togo,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,59000,2017,POINT (1.21333 6.42611),2020-05-01T03:57:54.890
2018,60264,Prefeitura de Botucatu,Botucatu,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Intending to undertake in future,,,,,,,,,,,,,,,,,,,,,,0,POINT (-48.4441 -22.8852),2020-05-01T03:57:54.890
2018,58609,City of Ærøskøbing,Ærøskøbing,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,,,,,,,,,,,,,,,,,,,6180,2017,POINT (10.4047 54.8914),2020-05-01T03:57:54.890
2018,71557,Quelimane Municipal Council,Quelimane,Mozambique,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,,,,,,,,,250000,2017,POINT (36.9218 -17.8503),2020-05-01T03:57:54.890
2018,60393,Municipalidad de Santiago,Santiago,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Intending to undertake in future,,,,,,,,,,,,,,,,,,,,,404495,2017,POINT (-70.6693 -33.4489),2020-05-01T03:57:54.890
2018,55372,Prefeitura Municipal de Canoas,Canoas,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,341343,2015,POINT (-51.1862 -29.9133),2020-05-01T03:57:54.890
2018,59644,"City of Culver City, CA",Culver City,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Intending to undertake in future,,,,,,,,,,,,,,,,,,,,,39395,2016,POINT (-118.4 34.02),2020-05-01T03:57:54.890
2018,74569,"King County, WA",King County,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,,,,,,,,,,,Not Applicable,Not Applicable,,,,2188649,2017,POINT (121.984 47.548),2020-05-01T03:57:54.890
2018,54070,City of Eugene,Eugene,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,912080,725157,76972,1641401,1714208,Increased,Change in weather conditions,,165885,2016,POINT (-123.087 44.0519),2020-05-01T03:57:54.890
2018,59633,"City of Santa Cruz, CA","Santa Cruz, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,192380,48079,1337,,,,,,64465,2016,POINT (-122.031 36.9741),2020-05-01T03:57:54.890
2018,36477,Comune di Lucca,Lucca,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,89874,0,POINT (10.6174 43.8399),2020-05-01T03:57:54.890
2018,51374,Prefeitura de Rio Branco,Rio Branco,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No,,,,,,,,,,,,,,,,,,,,,383.443,2017,POINT (-40.3776 -20.3338),2020-05-01T03:57:54.890
2018,42123,City of Goiânia,Goiânia,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,In progress,,,,,,,,,,,,,,,,,,,,,1302001,2010,POINT (-49.2648 -16.6869),2020-05-01T03:57:54.890
2018,54681,Prefeitura Municipal de Araçatuba,Araçatuba,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,,,,,,,,,,,,,,,,,,,,,194.874,2017,POINT (-50.4328 -21.2089),2020-05-01T03:57:54.890
