actor_id,type,name,is_part_of,is_owned_by,datasource_id
CA 5DV:ECCC_G10464,site,04-15-040-24-W4M Clive ENH,CA 5DV,,ECCC_GHGRP:2022-04-14
CA 5DV:ECCC_G10464,site,Fairborne Clive 04-15-040-24W4M,CA 5DV,,ECCC_GHGRP:2022-04-14
CA 5DV:ECCC_G12122,site,02-01-041-24W4 Chigwell Gas Battery,CA 5DV,,ECCC_GHGRP:2022-04-14
CA AAB:ECCC_G10065,site,Christina Lake SAGD Bitumen Battery,CA AAB,,ECCC_GHGRP:2022-04-14
CA AAB:ECCC_G10744,site,Kirby South 13-21-73-7W4,CA AAB,549300T15RIMIKZC5Q38,ECCC_GHGRP:2022-04-14
CA ABE:ECCC_G10500,site,Northern Pulp Nova Scotia Corporation,CA ABE,5493001Y2YY733C7D136,ECCC_GHGRP:2022-04-14
CA ABR:ECCC_G10017,site,Balzac Gas Plant,CA ABR,,ECCC_GHGRP:2022-04-14
CA ABR:ECCC_G10356,site,Balzac Power Station,CA ABR,,ECCC_GHGRP:2022-04-14
CA ABR:ECCC_G10356,site,Balzac Power Station,CA ABR,549300I04PB7X2824122,ECCC_GHGRP:2022-04-14
CA ABR:ECCC_G12092,site,LOCHEND 03-20-027-03W5,CA ABR,,ECCC_GHGRP:2022-04-14
CA AHN:ECCC_G12293,site,Spruceland Millworks,CA AHN,,ECCC_GHGRP:2022-04-14
CA AIR:ECCC_G10003,site,"Foothills Pipeline System, Alberta",CA AIR,,ECCC_GHGRP:2022-04-14
CA AIR:ECCC_G10003,site,"Acme Compressor Station # 363, Alberta",CA AIR,,ECCC_GHGRP:2022-04-14
CA AIR:ECCC_G10003,site,"Foothills Pipeline, Alberta",CA AIR,,ECCC_GHGRP:2022-04-14
CA AKL:ECCC_G10502,site,Aklavik Plant,CA AKL,,ECCC_GHGRP:2022-04-14
CA ALE:ECCC_G12326,site,Red Pine Landfill,CA ALE,,ECCC_GHGRP:2022-04-14
CA ALH:ECCC_G12417,site,NRK SUNCHILD 11-18 COMPRESSOR,CA ALH,,ECCC_GHGRP:2022-04-14
CA ALI:ECCC_G11725,site,Alix Malthouse,CA ALI,,ECCC_GHGRP:2022-04-14
CA ALN:ECCC_G10533,site,Potash Corp - Allan Division,CA ALN,,ECCC_GHGRP:2022-04-14
CA ALV:ECCC_G10896,site,Atholville Mill,CA ALV,,ECCC_GHGRP:2022-04-14
CA ALV:ECCC_G10896,site,AV Group NB Inc.,CA ALV,,ECCC_GHGRP:2022-04-14
CA AMA:ECCC_G10710,site,Honda of Canada Mfg.,CA AMA,5493008S9E54YU0UYJ34,ECCC_GHGRP:2022-04-14
CA AMA:ECCC_G10710,site,Alliston,CA AMA,5493008S9E54YU0UYJ34,ECCC_GHGRP:2022-04-14
CA AMB:ECCC_G12202,site,RSI Environnement - Centre de décontamination et de recyclage des sols,CA AMB,,ECCC_GHGRP:2022-04-14
CA ANZ:ECCC_G10390,site,Long Lake,CA ANZ,549300I04PB7X2824122,ECCC_GHGRP:2022-04-14
CA ANZ:ECCC_G10414,site,Surmont Central Processing Facility,CA ANZ,,ECCC_GHGRP:2022-04-14
CA ANZ:ECCC_G10414,site,Surmont SAGD Commercial Battery,CA ANZ,,ECCC_GHGRP:2022-04-14
CA ARM:ECCC_G11227,site,Armstrong Division,CA ARM,,ECCC_GHGRP:2022-04-14
CA ATA:ECCC_G11120,site,8 Wing Trenton Environmental Management,CA ATA,,ECCC_GHGRP:2022-04-14
CA AXO:ECCC_G11173,site,BUNGE CANADA - ALTONA PLANT,CA AXO,5493005C3MRGJI6ZZF14,ECCC_GHGRP:2022-04-14
CA AYL:ECCC_G10478,site,IGPC Ethanol,CA AYL,,ECCC_GHGRP:2022-04-14
CA AYL:ECCC_G10478,site,IGPC Ethanol Inc.,CA AYL,,ECCC_GHGRP:2022-04-14
CA AYL:ECCC_G10478,site,IGPC Ethanol Inc. - Aylmer Plant,CA AYL,,ECCC_GHGRP:2022-04-14
CA BAF:ECCC_G11925,site,Cascade Hydro Plant,CA BAF,,ECCC_GHGRP:2022-04-14
CA BAL:ECCC_G10902,site,Red Lake Gold Mines,CA BAL,,ECCC_GHGRP:2022-04-14
CA BAL:ECCC_G11951,site,Red Lake Gold Mines,CA BAL,,ECCC_GHGRP:2022-04-14
CA BAL:ECCC_G11951,site,Red Lake Operation,CA BAL,,ECCC_GHGRP:2022-04-14
CA BAR:ECCC_G11531,site,Sinclair 03-04-008-29 W1M,CA BAR,,ECCC_GHGRP:2022-04-14
CA BAT:ECCC_G10655,site,Brunswick Mine,CA BAT,,ECCC_GHGRP:2022-04-14
CA BAT:ECCC_G12142,site,Caribou Mine,CA BAT,,ECCC_GHGRP:2022-04-14
CA BCE:ECCC_G11330,site,Moose Moutain Oil Battery 02-23-023-07W5,CA BCE,,ECCC_GHGRP:2022-04-14
CA BCK:ECCC_G11133,site,3M BROCKVILLE 501,CA BCK,,ECCC_GHGRP:2022-04-14
CA BCK:ECCC_G11716,site,Brockville Activated Alumina Plant,CA BCK,,ECCC_GHGRP:2022-04-14
CA BDH:ECCC_G11766,site,Sil Industrial Minerals Lamont Plant,CA BDH,,ECCC_GHGRP:2022-04-14
CA BDT:ECCC_G12139,site,Burdett Power Plant 04-14,CA BDT,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10014,site,Aluminerie de Bécancour,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10014,site,Aluminerie de Bécancour inc.,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10205,site,Norsk Hydro Canada Inc,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10205,site,Norsk Hydro Canada inc,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10221,site,PETRESA CANADA inc.,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10221,site,CEPSA Chimica Bécancour,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10221,site,CEPSA Chimie Bécancour,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10270,site,Silicium Bécancour inc.,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10298,site,Usine de Bécancour,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10357,site,Bécancour Power Plant,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10357,site,Becancour Power Plant,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10657,site,Quebec Silicon LP,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10800,site,TRT ETGO du Québec inc.,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10823,site,Air Liquide Canada - Bécancour Plan 2,CA BEC,,ECCC_GHGRP:2022-04-14
CA BEC:ECCC_G10823,site,HydrogenAl II,CA BEC,,ECCC_GHGRP:2022-04-14
CA BED:ECCC_G10021,site,Usine de Bedford,CA BED,,ECCC_GHGRP:2022-04-14
CA BED:ECCC_G10021,site,Bedford,CA BED,,ECCC_GHGRP:2022-04-14
CA BEE:ECCC_G11107,site,Beiseker Compressor Station 04-15,CA BEE,,ECCC_GHGRP:2022-04-14
CA BEL:ECCC_G10022,site,Belledune Generating Station,CA BEL,,ECCC_GHGRP:2022-04-14
CA BEL:ECCC_G10035,site,Xstrata Zinc - Brunswick Smelter,CA BEL,,ECCC_GHGRP:2022-04-14
CA BEL:ECCC_G10035,site,Brunswick Smelter,CA BEL,,ECCC_GHGRP:2022-04-14
CA BEU:ECCC_G11052,site,Agropur Coopérative - Usine de Beauceville,CA BEU,,ECCC_GHGRP:2022-04-14
CA BFD:ECCC_G10033,site,Brookfield Cement Plant,CA BFD,,ECCC_GHGRP:2022-04-14
CA BFD:ECCC_G10033,site,Brookfield Plant,CA BFD,,ECCC_GHGRP:2022-04-14
CA BHM:ECCC_G10343,site,Ridge Landfill,CA BHM,,ECCC_GHGRP:2022-04-14
CA BHM:ECCC_G11302,site,BLENHEIM LANDFILL,CA BHM,,ECCC_GHGRP:2022-04-14
CA BHM:ECCC_G11846,site,Platinum Produce,CA BHM,,ECCC_GHGRP:2022-04-14
CA BHW:ECCC_G12132,site,04-01-042-22W4 Bashaw,CA BHW,,ECCC_GHGRP:2022-04-14
CA BHW:ECCC_G12424,site,AG20 ABGS0084730 BASHAW 13-20 GGS,CA BHW,,ECCC_GHGRP:2022-04-14
CA BIR:ECCC_G11877,site,Prairie Malt Limited - Cargill,CA BIR,,ECCC_GHGRP:2022-04-14
CA BIR:ECCC_G11877,site,Prairie Malt Limited,CA BIR,,ECCC_GHGRP:2022-04-14
CA BKF:ECCC_G10883,site,Portable Plant 020010,CA BKF,,ECCC_GHGRP:2022-04-14
