city,locode,area
http://www.wikidata.org/entity/Q100,USBOS,232.16776099999998
http://www.wikidata.org/entity/Q174,BRSAO,1523.0
http://www.wikidata.org/entity/Q220,ITROM,1287.36
http://www.wikidata.org/entity/Q239,BEBRU,32.61
http://www.wikidata.org/entity/Q239,BEBRU,33.08
http://www.wikidata.org/entity/Q60,USNYC,1213.369839
http://www.wikidata.org/entity/Q61,USWAS,177.0
http://www.wikidata.org/entity/Q64,DEBER,891.12
http://www.wikidata.org/entity/Q70,CHBRN,51.62
http://www.wikidata.org/entity/Q72,CHZRH,87.88
http://www.wikidata.org/entity/Q72,CHZRH,87.92999999999999
http://www.wikidata.org/entity/Q84,GBLON,1572.0
http://www.wikidata.org/entity/Q85,EGCAI,528.0
http://www.wikidata.org/entity/Q87,EGALY,2679.0
http://www.wikidata.org/entity/Q88,USAXR,40.060103999999995
http://www.wikidata.org/entity/Q88,USAXR,40.104859
http://www.wikidata.org/entity/Q90,FRPAR,105.39999999999999
http://www.wikidata.org/entity/Q100013,ITBBI,21.27
http://www.wikidata.org/entity/Q100015,ITBGA,12.11
http://www.wikidata.org/entity/Q100018,ITBPT,4.99
http://www.wikidata.org/entity/Q100036,ITBTG,10.469999999999999
http://www.wikidata.org/entity/Q100038,ITBOM,38.87
http://www.wikidata.org/entity/Q100039,ITCGA,35.69
http://www.wikidata.org/entity/Q100040,ITECM,22.709999999999997
http://www.wikidata.org/entity/Q100041,ITRPI,131.54
http://www.wikidata.org/entity/Q100043,ITCFE,102.50999999999999
http://www.wikidata.org/entity/Q100044,ITASR,22.439999999999998
http://www.wikidata.org/entity/Q100045,ITCOM,49.78
http://www.wikidata.org/entity/Q100046,ITEAZ,26.77
http://www.wikidata.org/entity/Q100048,ITIUL,40.97
http://www.wikidata.org/entity/Q100049,ITFNO,89.91
http://www.wikidata.org/entity/Q100050,ITFIE,105.13
http://www.wikidata.org/entity/Q100051,ITFMD,26.23
http://www.wikidata.org/entity/Q100052,ITFMB,39.14
http://www.wikidata.org/entity/Q100055,ITFMG,46.739999999999995
http://www.wikidata.org/entity/Q100056,ITFSN,95.46
http://www.wikidata.org/entity/Q100057,ITGUL,48.3
http://www.wikidata.org/entity/Q100060,ITMAR,32.58
http://www.wikidata.org/entity/Q100061,ITZOG,45.47
http://www.wikidata.org/entity/Q100064,ITDLL,27.0
